rank,car,gradient,gradient ±,f_rr,f_rr ±,gradient (drs),gradient (drs) ±,f_rr (drs),f_rr (drs) ±,delta gradient,delta gradient ±,c_rr,c_rr ±,c_rr (drs),c_rr (drs) ±,delta f_rr,delta f_rr ±,delta c_rr,delta c_rr ±,regression,drs_regression,drs_max_regression,drs_min_regression,max_regression,min_regression,v,v max,v min,v ±,v drs,v drs max,v drs min,v drs ±,delta v,delta v ±
9,C43,0.45638544182352175,4.912632691187422,2382.517849286977,33919.17612978768,0.5657568465795334,0.6080703985145848,1152.1873879077614,4202.477819334451,-0.10937140475601165,5.520703089702007,0.07542429924107663,1.0737926228714418,0.036475246703128426,0.1330394837101972,1230.3304613792154,38121.653949122134,0.038949052537948205,1.206832106581639," 
0.4564 x + 2383"," 
0.5658 x + 1152"," 
1.782 x - 7253"," 
0.5658 x + 1152"," 
2.019 x - 8202"," 
-7.806 x + 5.964e+04",98.50004521547982,88.42176533227794,81.12073037578122,3.6505174782483607,99.43746644155196,90.6757460928959,99.43746644155196,4.380860174328028,0.9374212260721464,8.031377652576388
8,AT04,0.3759585221463152,1.0020824496212712,3054.4249994426727,7225.863328689098,0.5041508476735167,0.7821709816606178,1711.5260859687821,5937.177352402235,-0.1281923255272015,1.784253431281889,0.09669512664357807,0.22875198107803224,0.05418245059765299,0.18795554518466498,1342.8989134738906,13163.040681091334,0.04251267604592508,0.41670752626269725," 
0.376 x + 3054"," 
0.5042 x + 1712"," 
1.834 x - 8251"," 
0.27 x + 3624"," 
1.439 x - 4298"," 
-0.5651 x + 1.015e+04",99.25839446053654,90.27710003203546,84.0477757571528,3.1146621374413286,99.73385525773126,92.04020316534611,103.21235681197834,5.586076823316112,0.475460797194728,8.700738960757441
6,A523,0.5027836433515175,1.3085181154073697,1974.815824021196,9555.447129753506,0.6008424036801259,1.4741356949453939,757.7097272030477,10564.160579453843,-0.09805876032860839,2.7826538103527634,0.06251751679491696,0.3025005264546098,0.02398711313728062,0.3344337625902661,1217.1060968181482,20119.607709207346,0.03853040365763634,0.6369342890448759," 
0.5028 x + 1975"," 
0.6008 x + 757.7"," 
3.549 x - 2.037e+04"," 
0.6008 x + 757.7"," 
1.605 x - 5809"," 
-1.012 x + 1.33e+04",98.24763761145913,90.69817382446685,69.16417735493779,10.766998234764529,99.69135911533353,88.71431023558708,99.69135911533353,5.488524439873224,1.4437215038744,16.255522674637753
5,AMR23,0.6135709386864779,1.703725952491191,1630.2008403503205,11329.56382010387,0.904877231022582,0.4815477967908083,-1133.3471164421182,3473.8786197188483,-0.29130629233610406,2.185273749281999,0.05160790549478351,0.3586644322912945,-0.035878812861831894,0.10997393392845582,2763.5479567924385,14803.442439822717,0.0874867183566154,0.46863836621975036," 
0.6136 x + 1630"," 
0.9049 x - 1133"," 
1.859 x - 7634"," 
0.8956 x - 686.3"," 
3.928 x - 1.94e+04"," 
0.5208 x + 3264",94.44360229804516,83.55429077685358,89.84041948995389,3.1430643565501555,95.11464431975513,90.07778735056618,93.62933611665662,1.775774383045217,0.6710420217099653,4.9188387395953725
3,SF-23,0.46469027691932413,3.313601736847738,2442.9751116542557,22224.704761089946,0.7416785525879485,0.520568743350496,-303.2774292858702,4137.36356167048,-0.27698827566862433,3.8341704801982344,0.07733821843771585,0.7035761696168171,-0.009600972175871691,0.1309781361923275,2746.252540940126,26362.068322760424,0.08693919061358754,0.8345543058091447," 
0.4647 x + 2443"," 
0.7417 x - 303.3"," 
1.686 x - 7759"," 
0.645 x + 515.4"," 
5.497 x - 3.097e+04"," 
-1.13 x + 1.348e+04",97.62351711784913,84.1627592467744,66.70238043924905,8.730189403762672,98.11817899221086,93.99322447697936,98.69042848289631,2.348602002958472,0.49466187436172504,11.078791406721145
10,VF-23,0.5672074376685676,2.758790436737427,1684.038206627977,18847.09291624759,0.7817203695275038,0.6813336910185946,-572.4349211514145,5232.411934917521,-0.21451293185893616,3.4401241277560217,0.05331225605219597,0.5966497906258537,-0.018121796150189454,0.1656445107640676,2256.4731277793917,24079.50485116511,0.07143405220238543,0.7622943013899213," 
0.5672 x + 1684"," 
0.7817 x - 572.4"," 
1.748 x - 7958"," 
0.385 x + 2507"," 
2.684 x - 1.206e+04"," 
-2.833 x + 2.563e+04",96.42080944413132,86.01414301443563,77.37922601124113,4.317458501597251,97.59662194292629,93.13662539673628,102.44591910900353,4.654646856133624,1.1758124987949685,8.972105357730875
4,MCL60,0.4366982931035452,3.8237628058720015,2664.215341622583,26532.194939375397,0.7304772561011658,0.981366692865005,-4.425976047141114,8058.468445331584,-0.2937789629976206,4.805129498737006,0.08434210691405597,0.8399400706395235,-0.00014011485450709802,0.25511008684672076,2668.641317669724,34590.66338470698,0.08448222176856307,1.0950501574862441," 
0.4367 x + 2664"," 
0.7305 x - 4.426"," 
2.59 x - 1.502e+04"," 
0.6274 x + 1101"," 
3.158 x - 1.639e+04"," 
-4.489 x + 3.667e+04",97.91620224241126,87.30571477075044,79.27455834495774,4.015578212896351,97.22146034849334,92.6918597496318,96.54578345831214,1.9269618543401705,-0.6947418939179215,5.942540067236521
2,W14,0.6572227563537392,6.456855519402873,1262.211542713365,41141.50789169004,0.9029529241692671,0.6259584731192305,-1154.3903062861782,4808.726623152066,-0.24573016781552792,7.082813992522103,0.03995832439687494,1.3024328037586832,-0.0365449853516876,0.15223173916690616,2416.601848999543,45950.2345148421,0.07650330974856254,1.4546645429255893," 
0.6572 x + 1262"," 
0.903 x - 1154"," 
1.964 x - 9124"," 
0.7122 x + 493.9"," 
12.38 x - 7.19e+04"," 
-0.5289 x + 1.039e+04",94.33642600576998,80.48755766968276,85.90868196856628,2.7105621494417633,95.27099199347926,91.52566074499029,95.66894809226659,2.0716436736381496,0.9345659877092771,4.782205823079913
7,FW45,0.7150551708045182,1.2337388211366405,715.6590829270693,7824.0316617996095,0.8844030114025265,0.5705530113031265,-1200.6765068109567,3537.6496445760968,-0.16934784059800834,1.804291832439767,0.02265589944748575,0.24768842991368958,-0.03801028570196962,0.11199275820009044,1916.335589738026,11361.681306375707,0.06066618514945537,0.35968118811378," 
0.7151 x + 715.7"," 
0.8844 x - 1201"," 
2.002 x - 8607"," 
0.8609 x - 1532"," 
3.015 x - 1.324e+04"," 
0.548 x + 2406",94.48803850953416,83.91933210398416,93.37995936334043,4.730313629678136,96.15607247388311,89.64916329799513,98.45687012762356,4.403853414814215,1.6680339643489503,9.13416704449235
1,RB19,0.520266585745643,7.213291558060995,2065.53942915741,49455.27239599026,0.7647861693005472,0.8529853991505306,-540.8658644082666,6655.969958145415,-0.24451958355490422,8.066276957211524,0.06538958944027864,1.5656248977779759,-0.01712240217575761,0.21071064378930787,2606.4052935656764,56111.24235413567,0.08251199161603626,1.7763355415672837," 
0.5203 x + 2066"," 
0.7648 x - 540.9"," 
1.782 x - 8514"," 
0.07603 x + 4798"," 
2.839 x - 1.408e+04"," 
-11.59 x + 8.483e+04",96.73926854385567,87.51185165425065,81.29583445875761,3.108008597746519,98.18701341399539,93.76819756361193,115.44002837839436,10.835915407391212,1.447744870139715,13.943924005137731
