Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Acceleration,v^2 (m^2/s^4),F_dissipated (N)
2023-03-04 15:46:52.013,11027,86.11111111111111,8,100,False,12,car,2.521,0 days 01:01:51.016000,1.058201058201064,7415.123456790124,6020.459115890078
2023-03-04 15:46:52.333,11069,86.11111111111111,8,100,False,12,car,2.841,0 days 01:01:51.336000,1.08932461873637,7415.123456790124,6021.580133530126
2023-03-04 15:46:52.693,11125,86.94444444444444,8,100,False,12,car,3.201,0 days 01:01:51.696000,1.2168789342702127,7559.336419753086,5887.345365260723
2023-03-04 15:46:53.092,11191,86.94444444444444,8,100,False,12,car,3.6,0 days 01:01:52.095000,1.216878934270241,7559.336419753086,5928.084023407664
2023-03-04 15:46:53.452,11222,87.77777777777777,8,100,False,12,car,3.96,0 days 01:01:52.455000,1.9141737891737876,7704.938271604937,5320.1356693353555
2023-03-04 15:46:53.612,11240,88.05555555555556,8,100,False,12,car,4.12,0 days 01:01:52.615000,1.041666666666714,7753.780864197531,6011.830573080928
2023-03-04 15:46:53.852,11266,88.05555555555556,8,100,False,12,car,4.36,0 days 01:01:52.855000,0.7575757575756938,7753.780864197531,6256.369811681534
2023-03-04 15:46:54.052,11302,88.33333333333333,8,100,False,12,car,4.56,0 days 01:01:53.055000,0.8101851851851904,7802.777777777777,6214.299039133469
2023-03-04 15:46:54.332,11299,88.33333333333333,8,100,False,12,car,4.84,0 days 01:01:53.335000,5.684341886080802e-14,7802.777777777777,6864.675471698068
2023-03-04 15:46:54.532,11331,88.33333333333333,8,100,False,12,car,5.04,0 days 01:01:53.535000,0.8267195767195403,7802.777777777777,6218.607721872846
2023-03-04 15:46:54.812,11368,88.88888888888889,8,100,False,12,car,5.32,0 days 01:01:53.815000,0.6531084656084545,7901.234567901234,6337.677685185194
2023-03-04 15:46:55.132,11376,88.61111111111111,8,100,False,12,car,5.64,0 days 01:01:54.135000,0.8680555555555429,7851.929012345679,6191.005873389074
2023-03-04 15:46:55.292,11330,88.88888888888889,8,100,False,12,car,5.8,0 days 01:01:54.295000,1.1047979797979508,7901.234567901234,5951.125126262649
2023-03-04 15:46:42.492,11001,86.11111111111111,8,100,False,12,car,2.28,0 days 01:01:41.495000,0.46296296296299033,7415.123456790124,6483.421911588986
