Race,gradient,f_rr,c_rr
all,0.45638544182352175,2382.517849286977,0.07542429924107663
Saudi Arabian Grand Prix,-0.7892682899292133,11061.024345179168,0.35016317312094924
Azerbaijan Grand Prix,0.45333946246745704,2730.346986645141,0.08643566226138688
Miami Grand Prix,1.4929129971657265,-4209.375771637083,-0.13325785488369338
Canadian Grand Prix,0.14619411653734427,4781.91410326331,0.15138292473972273
Austrian Grand Prix,0.17206114351132398,4665.879523029602,0.1477095726578153
British Grand Prix,0.9758770525650396,-694.171817135383,-0.02197566867169965
Belgian Grand Prix,1.3034149726775508,-3559.130188969419,-0.11267277619394012
Dutch Grand Prix,-7.8058904497005415,59636.7983547558,1.8879454465514276
Italian Grand Prix,0.8630726524618539,-1022.4254610416144,-0.03236732264078404
Japanese Grand Prix,2.0193749326743022,-8201.553904819551,-0.259639799191456
Brazilian Grand Prix,0.8630726524618539,-1022.4254610416144,-0.03236732264078404
Las Vegas Grand Prix,0.9492190866669541,-1531.5186288005157,-0.04848388413396508
