Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Acceleration,v^2 (m^2/s^4),F_dissipated (N)
2023-03-04 15:14:58.647,11086,86.66666666666667,8,100,False,12,car,3.04,0 days 00:29:57.650000,0.7440476190476488,7511.111111111112,6265.8339743589495
2023-03-04 15:14:58.887,11068,86.66666666666667,8,100,False,12,car,3.28,0 days 00:29:57.890000,0.5823382628267098,7511.111111111112,6384.8638522706515
2023-03-04 15:14:59.126,11114,86.94444444444444,8,100,False,12,car,3.519,0 days 00:29:58.129000,1.0364674686400264,7559.336419753086,6025.786818735194
2023-03-04 15:14:59.446,11115,87.22222222222221,8,100,False,12,car,3.839,0 days 00:29:58.449000,0.405092592592581,7607.716049382715,6512.811290988451
2023-03-04 15:14:59.726,11177,87.22222222222221,8,100,False,12,car,4.119,0 days 00:29:58.729000,0.28594771241832007,7607.716049382715,6646.870690229368
2023-03-04 15:15:00.126,11232,87.5,8,100,False,12,car,4.519,0 days 00:29:59.129000,0.9650072150072191,7656.25,6112.129191919189
2023-03-04 15:15:00.566,11215,88.05555555555556,8,100,False,12,car,4.959,0 days 00:29:59.569000,0.33670033670034627,7753.780864197531,6564.091875643919
2023-03-04 15:15:00.726,11269,88.05555555555556,8,100,False,12,car,5.119,0 days 00:29:59.729000,0.6172839506172352,7753.780864197531,6371.133107450286
2023-03-04 15:15:00.926,11231,88.33333333333333,8,100,False,12,car,5.319,0 days 00:29:59.929000,0.7575757575757791,7802.777777777777,6213.513779302442
2023-03-04 15:15:01.566,11180,88.05555555555556,8,100,False,12,car,5.959,0 days 00:30:00.569000,5.684341886080802e-14,7753.780864197531,6813.804416403739
2023-03-04 15:23:39.368,11011,86.38888888888889,8,100,False,12,car,3.119,0 days 00:38:38.371000,0.9920634920634939,7463.04012345679,6041.66284387281
2023-03-04 15:23:39.648,11067,86.38888888888889,8,100,False,12,car,3.399,0 days 00:38:38.651000,0.33757716049380804,7463.04012345679,6603.312765223707
2023-03-04 15:23:40.008,11085,86.66666666666667,8,100,False,12,car,3.759,0 days 00:38:39.011000,1.1684303350969572,7511.111111111112,5923.586657170026
2023-03-04 15:23:40.208,11079,86.94444444444444,8,100,False,12,car,3.959,0 days 00:38:39.211000,1.1684303350969856,7559.336419753086,5897.952877371527
2023-03-04 15:23:40.568,11119,87.22222222222221,8,100,False,12,car,4.319,0 days 00:38:39.571000,1.4393399810066398,7607.716049382715,5682.703289811949
2023-03-04 15:23:40.728,11153,87.5,8,100,False,12,car,4.479,0 days 00:38:39.731000,1.104797979798036,7656.25,5951.144292929248
2023-03-04 15:23:41.008,11139,87.5,8,100,False,12,car,4.759,0 days 00:38:40.011000,0.6232193732193707,7656.25,6330.2284045584065
2023-03-04 15:23:41.248,11190,87.77777777777777,8,100,False,12,car,4.999,0 days 00:38:40.251000,0.5260942760943124,7704.938271604937,6417.975120402307
2023-03-04 15:23:41.448,11195,87.77777777777777,8,100,False,12,car,5.199,0 days 00:38:40.451000,0.9645061728396058,7704.938271604937,6068.110505547662
2023-03-04 15:23:41.608,11189,88.05555555555556,8,100,False,12,car,5.359,0 days 00:38:40.611000,1.106229528848658,7753.780864197531,5928.774819182193
2023-03-04 15:23:41.889,11220,88.05555555555556,8,100,False,12,car,5.64,0 days 00:38:40.892000,2.842170943040401e-14,7753.780864197531,6838.182965299662
2023-03-18 17:17:27.263,11015,86.38888888888889,8,100,False,12,car,0.32,0 days 00:32:27.159000,1.5817901234567842,7463.04012345679,5569.417793061018
2023-03-18 17:17:27.663,11034,86.94444444444444,8,100,False,12,car,0.72,0 days 00:32:27.559000,1.3888888888888573,7559.336419753086,5692.707383741595
2023-03-18 17:17:27.863,11114,87.22222222222221,8,100,False,12,car,0.92,0 days 00:32:27.759000,1.6369047619047876,7607.716049382715,5520.587208067921
2023-03-18 17:17:28.143,11164,87.77777777777777,8,100,False,12,car,1.2,0 days 00:32:28.039000,0.7215007215007176,7704.938271604937,6244.776729318504
2023-03-18 17:17:28.303,11201,87.77777777777777,8,100,False,12,car,1.36,0 days 00:32:28.199000,0.5050505050505691,7704.938271604937,6441.640672548217
2023-03-18 17:17:28.743,11273,88.61111111111111,8,100,False,12,car,1.8,0 days 00:32:28.639000,1.5782828282828234,7851.929012345679,5556.891727621042
2023-03-18 17:17:29.183,11264,89.16666666666667,8,100,False,12,car,2.24,0 days 00:32:29.079000,1.3494318181817562,7950.694444444445,5693.161591971163
2023-03-18 17:17:29.383,11327,89.44444444444444,8,100,False,12,car,2.44,0 days 00:32:29.279000,1.150599128540314,8000.308641975308,5869.967701525048
2023-03-18 17:17:29.863,11338,89.72222222222221,8,100,False,12,car,2.92,0 days 00:32:29.759000,1.446759259259352,8050.077160493825,5617.097495986624
2023-03-18 17:17:30.023,11337,90.0,8,100,False,12,car,3.08,0 days 00:32:29.919000,0.9645061728395206,8100.0,5983.783641975297
2023-03-18 17:18:24.063,11090,86.11111111111111,8,100,False,12,car,57.12,0 days 00:33:23.959000,1.6203703703704235,7415.123456790124,5607.176045400194
2023-03-18 17:18:24.423,11028,86.94444444444444,8,100,False,12,car,57.48,0 days 00:33:24.319000,1.7195767195766507,7559.336419753086,5422.800165660924
2023-03-18 17:18:24.623,11099,87.22222222222221,8,100,False,12,car,57.68,0 days 00:33:24.519000,1.5817901234567557,7607.716049382715,5555.725192655529
2023-03-18 17:18:24.783,11082,87.5,8,100,False,12,car,57.84,0 days 00:33:24.679000,1.1047979797980219,7656.25,5907.597626262593
2023-03-18 17:18:25.063,11187,87.5,8,100,False,12,car,58.12,0 days 00:33:24.959000,2.430555555555486,7656.25,4904.762777777833
2023-03-18 17:18:25.263,11258,88.33333333333333,8,100,False,12,car,58.32,0 days 00:33:25.159000,3.259154040404006,7802.777777777777,4216.147035210624
2023-03-18 17:18:25.703,11289,88.88888888888889,8,100,False,12,car,58.76,0 days 00:33:25.599000,0.9650072150072333,7901.234567901234,6038.9029419191775
2023-03-18 17:18:26.103,11343,89.16666666666667,8,100,False,12,car,59.16,0 days 00:33:25.999000,0.6643819143819485,7950.694444444445,6292.17442808141
2023-03-18 17:18:26.543,11401,89.44444444444444,8,100,False,12,car,59.6,0 days 00:33:26.439000,0.9717270746682232,8000.308641975308,6058.35970489208
