Race,gradient,f_rr,c_rr
all,0.31250687125606247,3308.9400051039333,0.10475240770616664
Bahrain Grand Prix,0.7580392533471768,478.17664051377756,0.015137824900240519
Saudi Arabian Grand Prix,1.2944056312089933,-4363.6912229890395,-0.1381430794723675
Australian Grand Prix,0.7574676966579027,275.67844417718214,0.00872726031167278
Azerbaijan Grand Prix,0.6637168905231546,372.419170239448,0.01178981930719218
Miami Grand Prix,0.7700629725884298,-266.1634770098352,-0.008426041275217809
Spanish Grand Prix,1.3196435102461972,-4235.610955223066,-0.13408839234977196
Austrian Grand Prix,2.398074231495787,-12565.153663530029,-0.3977799831433899
Italian Grand Prix,0.9772564057506983,-2729.4657074183383,-0.08640776326027878
Japanese Grand Prix,0.8972600192060411,-1295.836561508539,-0.041022804765973975
Qatar Grand Prix,1.0738481945241234,-1952.710114415814,-0.06181770770147757
United States Grand Prix,2.143886084992538,-10308.394504909958,-0.32633687595082844
Mexican Grand Prix,1.2962540449970248,-5109.6881574327135,-0.16175939614896429
Brazilian Grand Prix,0.9772564057506983,-2729.4657074183383,-0.08640776326027878
Las Vegas Grand Prix,0.9944930909036594,-2801.0345816437243,-0.08867344709871801
Abu Dhabi Grand Prix,1.0613102442124804,-2334.23219510587,-0.07389570140450769
