Race,gradient,f_rr,c_rr
all,0.6118205111533528,667.6402456064194,0.02113574833660732
Bahrain Grand Prix,0.9452937131586454,-1475.6772173541713,-0.04671609073496341
Saudi Arabian Grand Prix,1.3732239585963781,-5210.083468466577,-0.16493764977005898
Australian Grand Prix,1.1495185112913218,-3266.8386484642324,-0.10341958859524228
Azerbaijan Grand Prix,0.9447925606143156,-1919.6527839998946,-0.06077119886539577
Miami Grand Prix,0.9683463569842525,-1995.2449746590166,-0.06316425040550004
Spanish Grand Prix,0.9596723917492338,-1839.8562312532424,-0.058245048190566175
Canadian Grand Prix,1.9486372280304398,-9003.241282290217,-0.2850191300007666
Austrian Grand Prix,2.118278214036315,-10816.109332778024,-0.34240980279908395
British Grand Prix,1.96967194047793,-9891.08528993448,-0.3131259549431269
Hungarian Grand Prix,2.252888585840009,-11231.078726555752,-0.3555466511721387
Italian Grand Prix,1.1017860365442562,-3902.94753760291,-0.12355713644977903
Singapore Grand Prix,2.459460607760278,-12300.885222403253,-0.3894139337601779
Japanese Grand Prix,1.4496344645632544,-6012.4159802231825,-0.19033740384774006
Qatar Grand Prix,1.3297454595479645,-4038.4793413734883,-0.12784771976160364
United States Grand Prix,0.9746728868385118,-1620.2760876453106,-0.05129371371731566
Mexican Grand Prix,1.1328109931013166,-3824.598835719766,-0.12107682095591918
Brazilian Grand Prix,1.1017860365442562,-3902.94753760291,-0.12355713644977903
Las Vegas Grand Prix,1.099454577481451,-4002.034935971665,-0.12669398496817372
Abu Dhabi Grand Prix,1.4563601390105887,-5704.044610578023,-0.1805751708099234
