Race,gradient,f_rr,c_rr
all,0.9057439084831521,-1136.6332067225355,-0.03598284190686825
Bahrain Grand Prix,1.0944928198595494,-1869.1584599031214,-0.05917268030160381
Saudi Arabian Grand Prix,1.048527533489367,-1863.8539046536564,-0.05900475192171939
Australian Grand Prix,1.3222182905122148,-3733.3258793462087,-0.1181873572836125
Azerbaijan Grand Prix,1.6929020198855198,-7088.962286689984,-0.22441805125616476
Miami Grand Prix,1.0914028143850796,-2493.6573160171915,-0.0789426848005645
Spanish Grand Prix,1.2375274061139694,-3046.008240991966,-0.09642867402992149
Canadian Grand Prix,0.8955824193265289,-686.303604787629,-0.0217265815965338
Austrian Grand Prix,1.635306535943931,-6661.805918464864,-0.2108953950672993
British Grand Prix,1.528009756263171,-5951.92881944762,-0.188422538145498
Hungarian Grand Prix,1.8586780129081455,-7634.060844225325,-0.24167444945344543
Belgian Grand Prix,1.0924952404319397,-2707.2672780114535,-0.08570501889982504
Dutch Grand Prix,1.294662274295632,-4046.877484938025,-0.12811358307652937
Italian Grand Prix,1.0658517569607555,-2947.223240519175,-0.09330139863997236
Singapore Grand Prix,1.6435990852023652,-6088.411202931248,-0.19274321433102387
Japanese Grand Prix,1.300999626774104,-4205.132611343549,-0.1331235274989885
Qatar Grand Prix,1.8417990777236923,-7988.698882921309,-0.2529013645260353
United States Grand Prix,1.2980160001494372,-4027.193164172792,-0.1274904288364893
Mexican Grand Prix,1.0273901131575975,-2703.308600715654,-0.08557969750462685
Brazilian Grand Prix,1.0658517569607555,-2947.223240519175,-0.09330139863997236
Las Vegas Grand Prix,1.2259668045327694,-4146.50457056597,-0.13126751668553352
Abu Dhabi Grand Prix,1.7604376123555676,-7562.08581539534,-0.23939590781986123
