Race,gradient,f_rr,c_rr
all,0.48042967962668204,2323.3076112429003,0.07354985758108724
Bahrain Grand Prix,0.6758849217304711,1188.2870186264438,0.03761806682958965
Saudi Arabian Grand Prix,0.8987055472807608,-388.6840611364643,-0.012304723318722318
Australian Grand Prix,7.153826372202613,-42175.67328650542,-1.3351717820738573
Azerbaijan Grand Prix,0.6574277001593035,1221.4768236560096,0.03866876946632
Miami Grand Prix,-1.8100278090770336,18190.402917230545,0.575860698527632
Austrian Grand Prix,1.0536173236836215,-1872.486101326699,-0.059278024747427806
British Grand Prix,0.5880001257010617,1920.3363619297397,0.060792839159234766
Belgian Grand Prix,1.0891397550073625,-1923.1753470258557,-0.060882714020610726
Italian Grand Prix,0.9057405525916566,-1168.434830199505,-0.036989598337338156
Japanese Grand Prix,0.8745188499720968,-21.83758227308991,-0.0006913208816295297
Brazilian Grand Prix,0.9057405525916566,-1168.434830199505,-0.036989598337338156
Las Vegas Grand Prix,1.0369304185798893,-2147.9427611470664,-0.06799826394498788
