Race,gradient,f_rr,c_rr
all,0.5672074376685676,1684.038206627977,0.05331225605219597
Bahrain Grand Prix,2.6841992459711905,-12059.762733557374,-0.3817806248395722
Saudi Arabian Grand Prix,0.36458250676209253,3038.8659565755656,0.09620256793915341
Australian Grand Prix,1.0268111735997199,-929.7823771547722,-0.029434484305999462
Azerbaijan Grand Prix,0.8240844862302894,-109.19363801176054,-0.003456785698829327
Miami Grand Prix,1.31838977153622,-3216.0222083978233,-0.10181087268023575
British Grand Prix,1.0621871965802243,-1257.257706636011,-0.039801498870971154
Belgian Grand Prix,0.5666844076768224,1863.5521073664154,0.05899519780697904
Dutch Grand Prix,-2.8333816275036634,25634.42309893781,0.8115189564121351
Italian Grand Prix,1.0122526207646645,-1853.0149339499499,-0.05866161838756086
Japanese Grand Prix,1.7907377082670155,-6750.039800482226,-0.21368864957427858
Brazilian Grand Prix,1.0122526207646645,-1853.0149339499499,-0.05866161838756086
Las Vegas Grand Prix,0.998454207008187,-1786.7151632192708,-0.056562740618942224
