Race,gradient,f_rr,c_rr
all,0.40852227477509145,2649.5186931256603,0.0838768493654485
Bahrain Grand Prix,2.0973391972282074,-10039.94497795429,-0.31783846429851303
Saudi Arabian Grand Prix,2.5092385152608307,-13311.137251346478,-0.42139587730058936
Australian Grand Prix,0.11112832938809056,5294.797770051888,0.16761948354296502
Azerbaijan Grand Prix,0.45734895303644635,2546.1737213249075,0.08060521717998834
Miami Grand Prix,0.5030547044813014,1908.2596371027016,0.06041052155876883
Spanish Grand Prix,1.3197957032548833,-4136.705138466947,-0.13095729223149616
Canadian Grand Prix,2.2163293494163088,-11398.7757777899,-0.3608555023011726
Austrian Grand Prix,2.2401476772449738,-11704.219400205711,-0.370525050500051
British Grand Prix,3.280504680792982,-19565.017259302047,-0.6193774022990245
Belgian Grand Prix,1.511156201312221,-5877.330938153634,-0.18606096384579157
Dutch Grand Prix,1.8665774982214494,-8498.484265505807,-0.26903983973464163
Italian Grand Prix,1.1246334269714422,-3590.5405519636774,-0.11366714633830599
Japanese Grand Prix,2.0755388877006244,-10809.40393366912,-0.34219752735733977
Qatar Grand Prix,2.3203849981308067,-11176.880544685255,-0.35383087813440633
United States Grand Prix,0.7043668178669127,674.5884752392813,0.02135571115920759
Mexican Grand Prix,1.1474166316599204,-4174.95459209001,-0.13216817014233195
Brazilian Grand Prix,1.1246334269714422,-3590.5405519636774,-0.11366714633830599
Las Vegas Grand Prix,0.9987854317006817,-2555.4272875351244,-0.0808981609441223
Abu Dhabi Grand Prix,1.353459782787811,-4635.963689565718,-0.14676251541922988
