Race,gradient,f_rr,c_rr
all,0.8981401645266818,-1114.3729848595613,-0.035278141358468074
Bahrain Grand Prix,1.2000954226639935,-2893.895286587818,-0.09161317474841296
Saudi Arabian Grand Prix,1.0282058274197083,-1901.5891326584563,-0.060199350791069334
Australian Grand Prix,1.3612070395245919,-4233.653312897878,-0.1340264185011453
Azerbaijan Grand Prix,1.0742878579074975,-2614.749777890826,-0.0827761562194372
Miami Grand Prix,0.9872552130806973,-1872.0309581525798,-0.05926361610198048
Spanish Grand Prix,1.1401225916932698,-2843.2707231808135,-0.09001053314784678
Canadian Grand Prix,0.8875083306442013,-939.3848534224596,-0.029738473652264442
Austrian Grand Prix,1.9640868160373557,-9123.593998101265,-0.2888291829892575
British Grand Prix,1.5702565261736336,-6122.61397372614,-0.19382598482110852
Hungarian Grand Prix,1.796310875750494,-7087.091511416372,-0.2243588273917593
Belgian Grand Prix,0.5663631405978142,1700.3090653357824,0.05382734898904598
Dutch Grand Prix,1.5046699171936253,-5376.144932392412,-0.17019472247207537
Italian Grand Prix,1.1271629298947365,-3328.6853997661055,-0.10537749538644511
Singapore Grand Prix,1.9371732977678886,-8107.543149750908,-0.2566636639552399
Japanese Grand Prix,1.5892727683253896,-6245.033072118922,-0.19770145409105053
Qatar Grand Prix,1.506945913466801,-4957.815771542364,-0.15695151263897164
United States Grand Prix,1.0108057044477141,-1355.150926011176,-0.04290054279798076
Mexican Grand Prix,0.9442714145519872,-1999.7007208489567,-0.06330530770505938
Brazilian Grand Prix,1.1271629298947365,-3328.6853997661055,-0.10537749538644511
Las Vegas Grand Prix,1.1379080976494804,-3674.639787699233,-0.11632950873108416
Abu Dhabi Grand Prix,1.307675779188095,-4037.9398863871124,-0.12783064202414549
