Race,gradient,f_rr,c_rr
all,0.6112117118830692,1599.9496435936592,0.05065023152929446
Bahrain Grand Prix,2.2351872323914206,-9006.713820416215,-0.28512906149816114
Saudi Arabian Grand Prix,0.8573911928297441,12.402730838273811,0.0003926381002486312
Australian Grand Prix,0.26722538271744184,4295.451429857108,0.13598278565594457
Azerbaijan Grand Prix,1.0370771270632297,-1277.216817126141,-0.04043335223678909
Miami Grand Prix,1.6069755824344236,-5133.651121807235,-0.1625180010829118
Monaco Grand Prix,1.0444954205067778,-523.6255182054829,-0.016576617794159934
Spanish Grand Prix,6.538865629620141,-34922.85911072527,-1.1055666074903057
Canadian Grand Prix,-0.5289190082930779,10385.896272109236,0.32879037970220637
Austrian Grand Prix,1.5275235651376198,-4580.395773560204,-0.14500338017234932
British Grand Prix,1.6576185409090656,-5052.657953615922,-0.15995396868501283
Hungarian Grand Prix,3.5393162233365296,-15297.278210175784,-0.48427191831683297
Belgian Grand Prix,1.0021165067191238,-1154.9424665057468,-0.03656246530368133
Dutch Grand Prix,1.0432793777115814,-611.4706692273519,-0.019357566092001188
Italian Grand Prix,1.2863396999126928,-3616.1067884494314,-0.11447650668444012
Singapore Grand Prix,2.5481510929096234,-9983.845325807444,-0.3160624956726703
Japanese Grand Prix,0.25125315036891427,4591.63890052032,0.1453593082391627
Qatar Grand Prix,-0.41789186681523116,8660.720864040375,0.2741758271772489
Brazilian Grand Prix,1.2863396999126928,-3616.1067884494314,-0.11447650668444012
Las Vegas Grand Prix,1.0441172761630457,-2076.032161048007,-0.0657217619569335
Abu Dhabi Grand Prix,1.6816158415399023,-4737.784058624446,-0.1499858826594882
