Race,gradient,f_rr,c_rr
all,0.520266585745643,2065.53942915741,0.06538958944027864
Saudi Arabian Grand Prix,2.8389538127432496,-14076.000253266417,-0.4456094444528785
Australian Grand Prix,0.46653187748454455,3090.3777122045276,0.09783329573082757
Azerbaijan Grand Prix,0.5703380492024586,1730.6467243881555,0.05478776012524156
Miami Grand Prix,1.5961213792295748,-5365.2511537880755,-0.16984985386277393
Austrian Grand Prix,1.6400187889859223,-5832.113524822173,-0.1846294985096388
British Grand Prix,-0.6022629030933597,10389.060007660373,0.328890535315731
Belgian Grand Prix,1.0002099859217481,-1284.597374009957,-0.04066700141223486
Italian Grand Prix,1.385092743637594,-4743.336011425776,-0.1501616430004171
Japanese Grand Prix,1.177053817566942,-2325.7162236362906,-0.0736261079655153
Brazilian Grand Prix,1.385092743637594,-4743.336011425776,-0.1501616430004171
Las Vegas Grand Prix,0.9692220676407397,-1403.7485420477124,-0.04443901653300005
Abu Dhabi Grand Prix,-11.58762930337874,84834.5445387141,2.685640351103073
