Race,gradient,f_rr,c_rr
all,0.8804224236691279,-1168.7660141931824,-0.037000082758535856
Bahrain Grand Prix,1.0585560776266683,-1997.2542562231624,-0.06322785901770796
Saudi Arabian Grand Prix,1.1682786732815573,-3136.8752454613377,-0.09930528632404942
Australian Grand Prix,1.5006377450725563,-5309.042079541695,-0.16807042121873658
Azerbaijan Grand Prix,1.3144740540149258,-4793.1964755156005,-0.15174009521009746
Miami Grand Prix,1.0408719117091791,-2460.725816003405,-0.07790015942672912
Spanish Grand Prix,1.4071694553168055,-4770.967526990922,-0.1510363846939972
Canadian Grand Prix,0.860908967724655,-1531.9667601364054,-0.048498070802907585
Austrian Grand Prix,1.5902964773658261,-6781.527446321778,-0.21468546629189944
British Grand Prix,1.6173526761306007,-6712.857658927671,-0.21251155997896906
Hungarian Grand Prix,1.7979678808343553,-6787.3111312811825,-0.21486856266837562
Dutch Grand Prix,1.2826687674377995,-3809.6271289388696,-0.1206028557796541
Italian Grand Prix,1.0626397086195236,-3273.409735421452,-0.10362761206467769
Singapore Grand Prix,2.002014990330908,-8607.266049288599,-0.27248358720308846
Japanese Grand Prix,1.2137113618429742,-3903.996250439101,-0.12359033596213462
Qatar Grand Prix,1.51743684763643,-5315.752975919462,-0.1682828706896709
United States Grand Prix,1.3415009433522844,-4241.388823828699,-0.13427130459566228
Mexican Grand Prix,1.0209720018639417,-2669.434885067603,-0.08450734404200312
Brazilian Grand Prix,1.0626397086195236,-3273.409735421452,-0.10362761206467769
Las Vegas Grand Prix,1.2632543666720846,-4904.120554475633,-0.15525166215471706
Abu Dhabi Grand Prix,1.4192333882777215,-5138.884375348926,-0.16268367223675062
