Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,Acceleration,v_squared,F_lost
2023-04-28 14:26:30.925,11230,84.16666666666667,8,100,False,8,car,87.761,0 days 01:40:57.503000,4747.6277777777805,2.7146464646461936,7084.027777777778,3634.912559096134
2023-04-28 14:26:34.605,11693,88.33333333333333,8,100,False,8,car,91.441,0 days 01:41:01.183000,5068.063611111113,0.6194213604186416,7802.777777777777,5327.517747833659
2023-04-28 14:26:35.965,11766,88.88888888888889,8,100,False,8,car,92.801,0 days 01:41:02.543000,5188.830555555557,0.8928571428571672,7901.234567901234,5100.297521928552
2023-04-28 14:26:36.165,11809,89.16666666666667,8,100,False,8,car,93.001,0 days 01:41:02.743000,5206.663888888891,0.6944444444444002,7950.694444444445,5268.0640015784375
2023-04-28 14:26:36.365,11787,89.16666666666667,8,100,False,8,car,93.201,0 days 01:41:02.943000,5224.497222222225,0.0,7950.694444444445,5833.5647573831775
2023-04-28 14:26:36.525,11799,89.16666666666667,8,100,False,8,car,93.361,0 days 01:41:03.103000,5238.763888888891,1.4210854715202004e-14,7950.694444444445,5839.503739065409
2023-04-28 14:26:36.805,11786,89.16666666666667,8,100,False,8,car,93.641,0 days 01:41:03.383000,5263.730555555559,0.0,7950.694444444445,5833.06984224299
2023-04-28 14:26:37.805,11830,89.44444444444444,8,100,False,8,car,94.641,0 days 01:41:04.383000,5353.097222222226,0.2667725753791075,8000.308641975308,5615.24211895708
2023-04-28 14:26:38.444,11867,89.72222222222221,8,100,False,8,car,95.28,0 days 01:41:05.022000,5410.429722222226,0.0,8050.077160493825,5836.791665386998
2023-04-28 13:59:24.680,11013,83.05555555555556,8,100,False,8,car,67.321,0 days 01:13:51.258000,3497.24138888889,0.0,6898.225308641976,5851.540604949832
2023-04-28 13:59:25.200,11007,83.05555555555556,8,100,False,8,car,67.841,0 days 01:13:51.778000,3540.4302777777784,1.709401709401675,6898.225308641976,4429.549204340423
2023-04-28 13:59:50.839,11687,88.33333333333333,8,100,False,8,car,93.48,0 days 01:14:17.417000,5214.006944444447,0.6574573330736655,7802.777777777777,5292.95038562433
2023-04-28 13:59:51.520,11725,88.61111111111111,8,100,False,8,car,94.161,0 days 01:14:18.098000,5274.284444444446,0.7575757575757507,7851.929012345679,5210.473832810872
2023-04-28 13:59:51.760,11768,88.61111111111111,8,100,False,8,car,94.401,0 days 01:14:18.338000,5295.551111111114,0.308641975308646,7851.929012345679,5604.503648518901
2023-04-28 13:59:53.000,11787,89.16666666666667,8,100,False,8,car,95.641,0 days 01:14:19.578000,5405.873333333336,0.36310820624549933,7950.694444444445,5532.184946199413
2023-05-06 20:17:13.121,11061,83.33333333333333,8,100,False,8,car,35.081,0 days 00:32:12.135000,2213.789444444444,0.28935185185183343,6944.444444444443,5617.292274162978
2023-05-06 20:17:13.761,11185,84.16666666666667,8,100,False,8,car,35.721,0 days 00:32:12.775000,2267.478333333333,1.3020833333333144,7084.027777777778,4783.7457363036465
2023-05-06 20:17:14.081,11167,84.44444444444444,8,100,False,8,car,36.041,0 days 00:32:13.095000,2294.5005555555554,1.4467592592592382,7130.864197530864,4634.967038235885
2023-05-06 20:17:46.761,11079,83.61111111111111,8,100,False,8,car,68.721,0 days 00:32:45.775000,4053.8263888888896,2.6388888888888573,6990.817901234568,3657.2169499298902
2023-06-30 16:05:34.026,11051,83.05555555555556,8,100,False,8,car,54.2,0 days 01:20:13.541000,3546.914444444446,1.4169472502806002,6898.225308641976,4695.664938655062
2023-06-30 16:05:34.466,11129,83.61111111111111,8,100,False,8,car,54.64,0 days 01:20:13.981000,3583.703333333335,0.6320297182953425,6990.817901234568,5349.300054877989
2023-06-30 16:05:35.187,11088,83.61111111111111,8,100,False,8,car,55.361,0 days 01:20:14.702000,3643.9869444444457,0.0,6990.817901234568,5852.244926511627
2023-06-30 16:05:45.866,11025,83.05555555555556,8,100,False,8,car,54.119,0 days 01:20:25.381000,3524.0797222222222,1.4955859521795318,6898.225308641976,4616.580228252861
2023-06-30 16:05:47.146,11040,83.33333333333333,8,100,False,8,car,55.399,0 days 01:20:26.661000,3631.1797222222226,0.3472222222222854,6944.444444444443,5558.139123555503
2023-07-08 15:13:56.206,11054,83.33333333333333,8,100,False,8,car,3.439,0 days 01:28:56.203000,292.85055555555556,1.5389702889702903,6944.444444444443,4576.402056954659
2023-07-08 15:13:56.486,11101,83.88888888888889,8,100,False,8,car,3.719,0 days 01:28:56.483000,316.33944444444444,1.8262987012987537,7037.3456790123455,4323.87738838561
2023-07-08 15:13:56.646,11134,84.16666666666667,8,100,False,8,car,3.879,0 days 01:28:56.643000,329.80611111111114,1.465548340548395,7084.027777777778,4621.329662295328
2023-07-08 15:14:37.447,11014,83.05555555555556,8,100,False,8,car,44.68,0 days 01:29:37.444000,2805.2833333333338,0.6172839506172352,6898.225308641976,5339.72625623853
2023-07-08 15:14:37.647,11058,83.33333333333333,8,100,False,8,car,44.88,0 days 01:29:37.644000,2821.9500000000007,1.2836700336700062,6944.444444444443,4790.419505653896
2023-07-08 15:14:37.887,11072,83.61111111111111,8,100,False,8,car,45.12,0 days 01:29:37.884000,2842.016666666667,1.283670033670063,6990.817901234568,4778.354000691721
2023-07-08 15:14:38.087,11064,83.88888888888889,8,100,False,8,car,45.32,0 days 01:29:38.084000,2858.7944444444447,1.1521464646464707,7037.3456790123455,4863.959813946079
2023-07-08 15:14:38.527,11185,84.16666666666667,8,100,False,8,car,45.76,0 days 01:29:38.524000,2895.827777777778,1.152146464646421,7084.027777777778,4908.193337313767
2023-07-08 15:14:38.727,11154,84.44444444444444,8,100,False,8,car,45.96,0 days 01:29:38.724000,2912.716666666667,1.1684303350969714,7130.864197530864,4859.186358185304
2023-07-08 15:14:39.087,11190,84.72222222222221,8,100,False,8,car,46.32,0 days 01:29:39.084000,2943.216666666667,0.38580246913578264,7177.854938271604,5508.4076699615625
2023-07-08 15:14:44.447,11013,83.05555555555556,8,100,False,8,car,51.68,0 days 01:29:44.444000,3383.1388888888896,0.3607503607503304,6898.225308641976,5552.117805527058
2023-07-08 15:14:44.927,11044,83.33333333333333,8,100,False,8,car,52.16,0 days 01:29:44.924000,3423.0944444444453,0.33386752136749465,6944.444444444443,5571.34176206498
2023-07-08 15:14:45.127,11069,83.33333333333333,8,100,False,8,car,52.36,0 days 01:29:45.124000,3439.761111111112,0.6944444444444571,6944.444444444443,5285.3018959111005
2023-07-08 15:14:45.327,11074,83.61111111111111,8,100,False,8,car,52.56,0 days 01:29:45.324000,3456.4833333333345,1.3888888888888857,6990.817901234568,4692.077950594317
2023-07-08 15:14:45.527,11098,83.88888888888889,8,100,False,8,car,52.76,0 days 01:29:45.524000,3473.261111111112,0.8101851851852047,7037.3456790123455,5165.673450203565
2023-07-08 15:14:45.807,11110,83.88888888888889,8,100,False,8,car,53.04,0 days 01:29:45.804000,3496.750000000001,0.8101851851852189,7037.3456790123455,5171.986076428719
2023-07-08 15:14:46.007,11106,84.16666666666667,8,100,False,8,car,53.24,0 days 01:29:46.004000,3513.5833333333344,0.8547008547008232,7084.027777777778,5113.6522264399
2023-07-08 15:14:46.327,11156,84.16666666666667,8,100,False,8,car,53.56,0 days 01:29:46.324000,3540.516666666668,0.0,7084.027777777778,5849.269737821782
2023-07-08 15:14:46.647,11155,84.16666666666667,8,100,False,8,car,53.88,0 days 01:29:46.644000,3567.450000000001,0.0,7084.027777777778,5848.745421782178
2023-07-08 15:14:46.887,11142,84.16666666666667,8,100,False,8,car,54.12,0 days 01:29:46.884000,3587.6500000000005,0.0,7084.027777777778,5841.9293132673265
2023-07-08 15:14:47.167,11181,84.16666666666667,8,100,False,8,car,54.4,0 days 01:29:47.164000,3611.216666666667,0.33757716049382225,7084.027777777778,5582.188595602008
2023-07-08 14:54:23.243,11068,83.61111111111111,8,100,False,9,car,25.72,0 days 01:09:23.240000,1638.2575000000004,0.8680555555555429,6990.817901234568,5121.202818058335
2023-07-08 14:54:23.803,11202,84.44444444444444,8,100,False,9,car,26.28,0 days 01:09:23.800000,1685.4575000000002,0.2374169040836449,7130.864197530864,5657.011889084259
2023-07-08 14:54:43.443,11164,84.44444444444444,8,100,False,9,car,45.92,0 days 01:09:43.440000,2878.97138888889,0.7215007215007745,7130.864197530864,5235.363850628041
2023-07-08 14:54:44.203,11273,85.0,8,100,False,9,car,46.68,0 days 01:09:44.200000,2943.3713888888906,1.2836700336700062,7225.0,4787.221383426444
2023-07-28 16:14:53.243,11014,83.05555555555556,8,100,False,8,car,15.76,0 days 01:29:53.223000,887.8647222222222,2.3148148148148096,6898.225308641976,3930.775638954544
2023-07-28 16:14:53.483,11088,83.61111111111111,8,100,False,8,car,16.0,0 days 01:29:53.463000,907.9313888888889,2.4388227513227747,6990.817901234568,3828.0220429137244
2023-07-28 16:14:53.803,11178,84.44444444444444,8,100,False,8,car,16.32,0 days 01:29:53.783000,934.9536111111112,2.438822751322732,7130.864197530864,3817.30284429687
2023-07-28 16:14:54.043,11222,85.0,8,100,False,8,car,16.56,0 days 01:29:54.023000,955.353611111111,1.704782195334758,7225.0,4411.220329244699
2023-07-28 16:14:54.322,11311,85.27777777777777,8,100,False,8,car,16.839,0 days 01:29:54.302000,979.146111111111,1.0992283843615667,7272.299382716048,4940.908302087392
2023-07-28 16:14:54.762,11358,85.83333333333333,8,100,False,8,car,17.279,0 days 01:29:54.742000,1016.9127777777778,1.5367490696438324,7367.36111111111,4564.04525627329
2023-07-28 16:14:57.203,11062,83.33333333333333,8,100,False,8,car,19.72,0 days 01:29:57.183000,1224.1416666666664,0.8680555555555998,6944.444444444443,5137.497759288854
2023-07-28 16:14:57.363,11112,83.61111111111111,8,100,False,8,car,19.88,0 days 01:29:57.343000,1237.5194444444442,0.744047619047663,6990.817901234568,5247.352599512699
2023-07-28 16:14:57.643,11062,83.33333333333333,8,100,False,8,car,20.16,0 days 01:29:57.623000,1260.8527777777776,0.49603174603174693,6944.444444444443,5446.277521193651
2023-07-28 16:14:57.923,11138,83.88888888888889,8,100,False,8,car,20.44,0 days 01:29:57.903000,1284.3416666666667,0.992063492063437,7037.3456790123455,5035.756542911851
2023-07-28 16:14:59.043,11183,84.44444444444444,8,100,False,8,car,21.56,0 days 01:29:59.023000,1378.5194444444444,2.57034632034636,7130.864197530864,3710.7512385862055
2023-07-28 16:14:59.803,11234,85.0,8,100,False,8,car,22.32,0 days 01:29:59.783000,1443.0416666666667,0.7575757575757791,7225.0,5203.631780819946
2023-07-28 16:15:00.003,11267,85.27777777777777,8,100,False,8,car,22.52,0 days 01:29:59.983000,1460.0972222222222,0.7575757575757223,7272.299382716048,5201.710661668178
2023-07-28 16:15:00.962,11335,85.83333333333333,8,100,False,8,car,23.479,0 days 01:30:00.942000,1542.1780555555556,1.439430770313379,7367.36111111111,4632.994336368051
2023-07-28 16:15:41.243,11048,83.05555555555556,8,100,False,8,car,63.76,0 days 01:30:41.223000,4206.468611111113,0.6653310146546687,6898.225308641976,5317.912423321575
2023-07-28 16:15:41.842,11079,83.88888888888889,8,100,False,8,car,64.359,0 days 01:30:41.822000,4256.585277777779,0.7262164124909418,7037.3456790123455,5225.372540016625
2023-07-28 16:15:42.322,11131,83.88888888888889,8,100,False,8,car,64.839,0 days 01:30:42.302000,4296.8519444444455,0.23630480720775893,7037.3456790123455,5659.35388604405
2023-07-28 16:15:42.683,11189,84.16666666666667,8,100,False,8,car,65.2,0 days 01:30:42.663000,4327.236111111112,1.0024896520914126,7084.027777777778,5034.505755892839
2023-07-28 16:15:42.923,11130,84.44444444444444,8,100,False,8,car,65.44,0 days 01:30:42.903000,4347.502777777779,0.16534391534392512,7130.864197530864,5679.205895001384
2023-07-28 16:16:02.483,11119,83.33333333333333,8,100,False,8,car,85.0,0 days 01:31:02.463000,5555.90666666667,1.7390289449113112,6944.444444444443,4444.774720523612
2023-07-28 16:16:02.883,11052,83.88888888888889,8,100,False,8,car,85.4,0 days 01:31:02.863000,5589.462222222226,1.1554621848739544,7037.3456790123455,4854.895139932101
2023-07-28 16:16:03.163,11214,84.16666666666667,8,100,False,8,car,85.68,0 days 01:31:03.143000,5613.028888888893,1.1554621848739828,7084.027777777778,4920.646454673406
2023-07-28 16:16:03.563,11235,84.72222222222221,8,100,False,8,car,86.08,0 days 01:31:03.543000,5646.91777777778,1.3888888888888573,7177.854938271604,4699.2854471402825
2023-07-28 16:16:04.163,11354,85.55555555555556,8,100,False,8,car,86.68,0 days 01:31:04.143000,5698.140000000003,0.39682539682536344,7319.753086419753,5527.078255180403
2023-07-28 16:16:04.323,11368,85.55555555555556,8,100,False,8,car,86.84,0 days 01:31:04.303000,5711.828888888892,0.3968253968254274,7319.753086419753,5534.2995169985315
